hour	day	value
0	2	0.30958482829
0	3	0.568053678769
0	4	0.0
0	5	1.0
0	6	0.972554866964
0	7	0.563161082897
1	2	0.369964973732
1	3	0.938528896677
1	4	0.131085814362
1	5	1.0
1	6	0.678955049626
1	7	0.0
2	2	0.0
2	3	0.700552511841
2	4	0.376474138734
2	5	0.301304670812
2	6	0.98683721794
2	7	1.0
3	2	0.540288961226
3	3	0.561989606529
3	4	0.0
3	5	0.761521329451
3	6	0.366798012683
3	7	1.0
4	2	0.0
4	3	0.358419092105
4	4	1.0
4	5	0.364353810204
4	6	0.941473577866
4	7	0.650419849744
5	2	0.0
5	3	0.978692798711
5	4	1.0
5	5	0.957835116423
5	6	0.558842039015
5	7	0.845590218464
6	2	0.110016160208
6	3	1.0
6	4	0.0
6	5	0.413226021107
6	6	0.474064450713
6	7	0.842358756611
7	2	0.00476702341448
7	3	0.315862036732
7	4	0.938636257417
7	5	0.668948918071
7	6	0.0
7	7	1.0
8	2	0.086670377525
8	3	0.790805802039
8	4	0.278838282968
8	5	0.0
8	6	1.0
8	7	0.535345928427
9	2	0.0
9	3	0.265576180846
9	4	0.573944740549
9	5	1.0
9	6	0.245604361946
9	7	0.486031979413
10	2	0.0
10	3	0.612106210623
10	4	0.720072007202
10	5	0.376687668766
10	6	1.0
10	7	0.43186318631
11	2	0.0
11	3	0.568988300516
11	4	0.48535146808
11	5	0.907274309475
11	6	1.0
11	7	0.337899249041
12	2	0.0
12	3	0.964861025495
12	4	0.817523921843
12	5	1.0
12	6	0.6925942802
12	7	0.731164062295
13	2	0.556180356711
13	3	0.447441956739
13	4	1.0
13	5	0.0
13	6	0.997757615487
13	7	0.518094318142
14	2	0.0
14	3	0.940108499105
14	4	1.0
14	5	0.161446654616
14	6	0.878264014466
14	7	0.669801084995
15	2	0.0
15	3	0.441081208409
15	4	0.498233319597
15	5	0.845768800421
15	6	0.434220599495
15	7	1.0
16	2	0.0
16	3	0.329987497765
16	4	0.0403643507766
16	5	0.951419896406
16	6	1.0
16	7	0.167529916059
17	2	0.274142840196
17	3	0.624985170245
17	4	0.95298967849
17	5	0.122760707084
17	6	1.0
17	7	0.0
18	2	0.0
18	3	0.636512283857
18	4	0.989289948077
18	5	0.550913624651
18	6	1.0
18	7	0.355557372356
19	2	0.0514550676501
19	3	0.47288833524
19	4	1.0
19	5	0.952939548078
19	6	0.0
19	7	0.687947679847
20	2	0.0
20	3	0.331735415781
20	4	0.989561990179
20	5	0.961495341558
20	6	0.981482197392
20	7	1.0
21	2	0.0
21	3	0.455043478268
21	4	0.144869565226
21	5	0.657695652168
21	6	1.0
21	7	0.405347826084
22	2	0.503696236553
22	3	1.0
22	4	0.699484767027
22	5	0.713037634436
22	6	0.314292114683
22	7	0.0
23	2	0.0
23	3	0.103522693317
23	4	1.0
23	5	0.853713602707
23	6	0.597662605001
23	7	0.620970151731
24	2	0.392040343464
24	3	1.0
24	4	0.914597246829
24	5	0.574049338966
24	6	0.0
24	7	0.83731770478
25	2	0.144068970293
25	3	0.0
25	4	0.873589086625
25	5	0.426978741081
25	6	1.0
25	7	0.180216051521
26	2	0.317109241486
26	3	0.998521098978
26	4	0.0
26	5	0.333410017088
26	6	1.0
26	7	0.621664256599
27	2	0.192202747074
27	3	0.976414003607
27	4	1.0
27	5	0.683392683715
27	6	0.0
27	7	0.339453359841
28	2	1.0
28	3	0.164076757169
28	4	0.765415030684
28	5	0.504949399976
28	6	0.0
28	7	0.591162970748
29	2	0.0
29	3	0.290414657662
29	4	0.842275795569
29	5	0.814310511087
29	6	1.0
29	7	0.833288331722
30	2	0.0970597533984
30	3	0.281299399304
30	4	0.0
30	5	0.379030983244
30	6	0.198980398356
30	7	1.0
31	2	0.41005905214
31	3	1.0
31	4	0.78768990057
31	5	0.076994902337
31	6	0.845555948115
31	7	0.0
32	2	0.356243372217
32	3	1.0
32	4	0.842490721102
32	5	0.287115588548
32	6	0.0
32	7	0.881263255571
33	2	0.0
33	3	0.595849289681
33	4	0.873279802348
33	5	0.68420012353
33	6	1.0
33	7	0.465324274245
34	2	1.0
34	3	0.136185136704
34	4	0.77245671664
34	5	0.491442120078
34	6	0.60129911828
34	7	0.0
35	2	0.0
35	3	1.0
35	4	0.949331688257
35	5	0.201891836315
35	6	0.791075467821
35	7	0.0087188977994
36	2	1.0
36	3	0.558458771182
36	4	0.521608444571
36	5	0.785903625865
36	6	0.773880526367
36	7	0.0
37	2	0.0
37	3	0.0790898203542
37	4	0.82529341317
37	5	0.832239520953
37	6	0.579305389221
37	7	1.0
38	2	0.0
38	3	0.901376518212
38	4	0.914008097164
38	5	0.0980836707149
38	6	0.831309041834
38	7	1.0
39	2	0.335385463567
39	3	0.789993567945
39	4	1.0
39	5	0.39883304236
39	6	0.42796104016
39	7	0.0
40	2	0.0790676711106
40	3	1.0
40	4	0.83104758226
40	5	0.911467387805
40	6	0.0
40	7	0.477110295533
41	2	0.0
41	3	1.0
41	4	0.136096615477
41	5	0.668614879979
41	6	0.541941255401
41	7	0.370359326078
42	2	0.0
42	3	0.921531869306
42	4	0.510890912341
42	5	1.0
42	6	0.592453728498
42	7	0.663095875737
43	2	0.125519941279
43	3	0.0
43	4	0.514803034012
43	5	1.0
43	6	0.977978957668
43	7	0.685466112063
44	2	0.0801951862304
44	3	1.0
44	4	0.919434207005
44	5	0.877905659988
