hour	day	value
0	2	0.101927083333
0	3	0.135916053922
0	4	0.0612162990196
0	5	0.19271752451
0	6	0.189108455882
0	7	0.135272671569
1	2	0.0834160539216
1	3	0.1430943627451
1	4	0.0583425245098
1	5	0.149546568627
1	6	0.115848651961
1	7	0.0445833333333
2	2	0.06421875
2	3	0.156672794118
2	4	0.113903186275
2	5	0.103982843137
2	6	0.194454656863
2	7	0.196191789216
3	2	0.111881127451
3	3	0.113045343137
3	4	0.0828952205882
3	5	0.12375
3	6	0.102573529412
3	7	0.136544117647
4	2	0.0895220588235
4	3	0.106914828431
4	4	0.138048406863
4	5	0.107202818627
4	6	0.135208333333
4	7	0.121084558824
5	2	0.0674571078431
5	3	0.134160539216
5	4	0.135612745098
5	5	0.132738970588
5	6	0.105545343137
5	7	0.125088848039
6	2	0.099381127451
6	3	0.1854319852941
6	4	0.088743872549
6	5	0.128697916667
6	6	0.134580269608
6	7	0.17018995098
7	2	0.0708823529412
7	3	0.111669730392
7	4	0.1933210784314
7	5	0.157962622549
7	6	0.0702573529412
7	7	0.201366421569
8	2	0.0988419117647
8	3	0.1647273284314
8	4	0.116822916667
8	5	0.0907322303922
8	6	0.184301470588
8	7	0.140824142157
9	2	0.0848958333333
9	3	0.111458333333
9	4	0.142300857843
9	5	0.1849142156863
9	6	0.109460784314
9	7	0.133507965686
10	2	0.0734344362745
10	3	0.115104166667
10	4	0.122454044118
10	5	0.0990778186275
10	6	0.141510416667
10	7	0.102833946078
11	2	0.0731433823529
11	3	0.127230392157
11	4	0.11928002451
11	5	0.159387254902
11	6	0.168201593137
11	7	0.105263480392
12	2	0.0522671568627
12	3	0.162555147059
12	4	0.145713848039
12	5	0.166571691176
12	6	0.131433823529
12	7	0.13584252451
13	2	0.0976194852941
13	3	0.087962622549
13	4	0.1370343137255
13	5	0.0482261029412
13	6	0.136835171569
13	7	0.0942371323529
14	2	0.0939276960784
14	3	0.173566176471
14	4	0.178639705882
14	5	0.107604166667
14	6	0.168327205882
14	7	0.150667892157
15	2	0.0676868872549
15	3	0.113581495098
15	4	0.119528186275
15	5	0.155689338235
15	6	0.112867647059
15	7	0.171737132353
16	2	0.0871292892157
16	3	0.115431985294
16	4	0.0905912990196
16	5	0.168731617647
16	6	0.172898284314
16	7	0.101498161765
17	2	0.0931801470588
17	3	0.129420955882
17	4	0.163302696078
17	5	0.0775428921569
17	6	0.16815870098
17	7	0.0648621323529
18	2	0.0670618872549
18	3	0.114767156863
18	4	0.141207107843
18	5	0.108351715686
18	6	0.142009803922
18	7	0.0937101715686
19	2	0.0842279411765
19	3	0.121541053922
19	4	0.168210784314
19	5	0.164044117647
19	6	0.0796721813725
19	7	0.140582107843
20	2	0.055943627451
20	3	0.0822334558824
20	4	0.1343658088235
20	5	0.132141544118
20	6	0.133725490196
20	7	0.135193014706
21	2	0.109751838235
21	3	0.141816789216
21	4	0.119960171569
21	5	0.156096813725
21	6	0.1802175245098
21	7	0.13831495098
22	2	0.114571078431
22	3	0.128146446078
22	4	0.119926470588
22	5	0.120297181373
22	6	0.109390318627
22	7	0.100793504902
23	2	0.073737745098
23	3	0.0832904411765
23	4	0.166014093137
23	5	0.152515318627
23	6	0.128887867647
23	7	0.131038602941
24	2	0.08515625
24	3	0.153486519608
24	4	0.143887867647
24	5	0.105612745098
24	6	0.04109375
24	7	0.135202205882
25	2	0.0925
25	3	0.0797518382353
25	4	0.157052696078
25	5	0.11753370098
25	6	0.168238357843
25	7	0.0956985294118
26	2	0.0897671568627
26	3	0.153290441176
26	4	0.0602052696078
26	5	0.0912867647059
26	6	0.153428308824
26	7	0.11815870098
27	2	0.0912162990196
27	3	0.143167892157
27	4	0.144730392157
27	5	0.123756127451
27	6	0.0784834558824
27	7	0.10097120098
28	2	0.1610232843137
28	3	0.114712009804
28	4	0.148026960784
28	5	0.133596813725
28	6	0.105621936275
28	7	0.138373161765
29	2	0.0865165441176
29	3	0.109583333333
29	4	0.153416053922
29	5	0.151194852941
29	6	0.165943627451
29	7	0.152702205882
30	2	0.0825214460784
30	3	0.0968045343137
30	4	0.0749969362745
30	5	0.104381127451
30	6	0.0904227941176
30	7	0.1525214460784
31	2	0.110248161765
31	3	0.181868872549
31	4	0.15609375
31	5	0.0698131127451
31	6	0.163118872549
31	7	0.0604656862745
32	2	0.0804289215686
32	3	0.139944852941
32	4	0.125382965686
32	5	0.0740379901961
32	6	0.047493872549
32	7	0.12896752451
33	2	0.0537775735294
33	3	0.127665441176
33	4	0.162068014706
33	5	0.138621323529
33	6	0.1777818627451
33	7	0.111479779412
34	2	0.1892003676471
34	3	0.0820465686275
34	4	0.160974264706
34	5	0.126115196078
34	6	0.139742647059
34	7	0.0651531862745
35	2	0.0763357843137
35	3	0.150830269608
35	4	0.147055759804
35	5	0.0913756127451
35	6	0.135266544118
35	7	0.0769852941176
36	2	0.1584007352941
36	3	0.101243872549
36	4	0.0964736519608
36	5	0.13068627451
36	6	0.129129901961
36	7	0.0289522058824
37	2	0.101593137255
37	3	0.106651348039
37	4	0.154375
37	5	0.154819240196
37	6	0.138642769608
37	7	0.165548406863
38	2	0.0794362745098
38	3	0.130594362745
38	4	0.13131127451
38	5	0.0850030637255
38	6	0.126617647059
38	7	0.136191789216
39	2	0.0940808823529
39	3	0.124396446078
39	4	0.138400735294
39	5	0.0983118872549
39	6	0.100254289216
39	7	0.0717156862745
40	2	0.083125
40	3	0.126945465686
40	4	0.11890625
40	5	0.122732843137
40	6	0.079362745098
40	7	0.10206495098
41	2	0.0495220588235
41	3	0.1522640931373
41	4	0.0635049019608
41	5	0.118216911765
41	6	0.105202205882
41	7	0.0875735294118
42	2	0.0686274509804
42	3	0.163507965686
42	4	0.121228553922
42	5	0.171587009804
42	6	0.12962622549
42	7	0.136899509804
43	2	0.062356004902
43	3	0.059212622549
43	4	0.0721047794118
43	5	0.0842555147059
43	6	0.0837040441176
43	7	0.0763786764706
44	2	0.071574754902
44	3	0.208443627451
44	4	0.196455269608
44	5	0.190275735294
44	6	0.0596415441176
44	7	0.134424019608
45	2	0.0428216911765
45	3	0.171945465686
45	4	0.258112745098
45	5	0.0702941176471
45	6	0.0552665441176
45	7	0.0256433823529
46	2	0.0501286764706
46	3	0.0616237745098
46	4	0.0748958333333
46	5	0.11050245098
46	6	0.1180667892157
46	7	0.0814307598039
47	2	0.0300428921569
47	3	0.0787745098039
47	4	0.034537377451
47	5	0.0768045343137
47	6	0.171390931373
47	7	0.0605208333333
48	2	0.0532261029412
48	3	0.0704534313725
48	4	0.060324754902
48	5	0.0783884803922
48	6	0.110490196078
48	7	0.0247457107843
49	2	0.0316881127451
49	3	0.0943596813725
49	4	0.0769178921569
49	5	0.0617738970588
49	6	0.0369607843137
49	7	0.0837132352941
50	2	0.0694914215686
50	3	0.121746323529
50	4	0.0557843137255
50	5	0.116452205882
50	6	0.11006127451
50	7	0.0954289215686
51	2	0.0451807598039
51	3	0.110113357843
51	4	0.0742218137255
51	5	0.102944240196
51	6	0.0723253676471
51	7	0.128507965686
52	2	0.113189338235
52	3	0.0333333333333
52	4	0.140416666667
52	5	0.0878553921569
52	6	0.0316789215686
52	7	0.046418504902
53	2	0.0668504901961
53	3	0.0275214460784
53	4	0.117267156863
53	5	0.124111519608
53	6	0.0815900735294
53	7	0.0619087009804
54	2	0.0383731617647
54	3	0.112463235294
54	4	0.0656556372549
54	5	0.067175245098
54	6	0.119935661765
54	7	0.129620098039
55	2	0.037512254902
55	3	0.0785447303922
55	4	0.108762254902
55	5	0.0833946078431
55	6	0.0689981617647
55	7	0.127928921569
56	2	0.0842677696078
56	3	0.0797242647059
56	4	0.0954932598039
56	5	0.129132965686
56	6	0.061868872549
56	7	0.0633455882353
57	2	0.0405024509804
57	3	0.0261795343137
57	4	0.106556372549
57	5	0.0755821078431
57	6	0.0909895833333
57	7	0.0657138480392
58	2	0.0776317401961
58	3	0.0254932598039
58	4	0.0377971813725
58	5	0.0716360294118
58	6	0.0589797794118
58	7	0.208624387255
59	2	0.0466881127451
59	3	0.0604779411765
59	4	0.0811856617647
59	5	0.103235294118
59	6	0.0671292892157
59	7	0.0966390931373
60	2	0.00444240196078
60	3	0.0591544117647
60	4	0.0431770833333
60	5	0.107784926471
60	6	0.142074142157
60	7	0.0505545343137
61	2	0.0605392156863
61	3	0.0145680147059
61	4	0.0993351715686
61	5	0.105594362745
61	6	0.117496936275
61	7	0.0864736519608
62	2	0.0399509803922
62	3	0.0417677696078
62	4	0.0791942401961
62	5	0.0381770833333
62	6	0.0712132352941
