day	hour
0	2	0.100940027574
0	3	0.123039461222
0	4	0.145072184806
1	2	0.120264476103
1	3	0.0587188112379
1	4	-0.0660561835076
2	2	0.164735906863
2	3	-0.0537053829191
2	4	0.222047321761
3	2	0.159219056373
3	3	-0.0451545861887
3	4	-0.0882116094515
4	2	0.113446997549
4	3	0.051974809247
4	4	0.0531987284024
5	2	0.162907552083
5	3	0.509625526469
5	4	-0.0187198812305
6	2	0.131506127451
6	3	-0.323992913253
6	4	0.571136662036
7	2	0.171292892157
7	3	0.069256394764
7	4	-0.31854022289
8	2	0.144110294118
8	3	0.0841418557627
8	4	0.0428247010782
9	2	0.196687193627
9	3	-0.0146735818993
9	4	-0.0342339853585
10	2	0.166910309436
10	3	0.110661426218
10	4	0.11650438854
11	2	0.155477405025
11	3	-0.120343994998
11	4	0.255681505888
12	2	0.177124463848
12	3	0.148439442523
12	4	0.00193133082736
13	2	0.171222196691
13	3	0.193287161068
13	4	-0.00122120147229
14	2	0.143960784314
14	3	0.53519533567
14	4	-0.242049724922
15	2	0.154368872549
15	3	0.0782510389417
15	4	-0.0502088403605
16	2	0.172917049632
16	3	0.194804060819
16	4	0.0529169227386
17	2	0.149067478554
17	3	0.0631653319217
17	4	0.0318034405765
18	2	0.115168581495
18	3	-0.0081430118022
18	4	0.0380248280826
19	2	0.170022671569
19	3	-0.0237694761594
19	4	0.0605527198348
20	2	0.170685661765
20	3	0.118871277065
20	4	0.00868464798249
21	2	0.15437109375
21	3	-0.364948632173
21	4	0.457215100245
22	2	0.15421629902
22	3	0.00940877519185
22	4	-0.0551873310318
23	2	0.102659313725
23	3	-0.264922412082
23	4	0.791875408949
24	2	0.172706878064
24	3	0.144411784496
24	4	0.00298138198501
25	2	0.164325750613
25	3	-0.0412037711736
25	4	-0.0811639531144
26	2	0.181934742647
26	3	0.0738442584559
26	4	0.0145955105076
27	2	0.192122931985
27	3	1.09790204743
27	4	-0.0704217308889
28	2	0.142545113358
28	3	0.0803281997001
28	4	0.147873573242
29	2	0.167840073529
29	3	0.123748284641
29	4	0.0318337612271
30	2	0.186830346201
30	3	0.0204382290926
30	4	0.0455588987313
31	2	0.142242417279
31	3	-0.080762729119
31	4	0.104939028211
32	2	0.135007352941
32	3	0.01469155939
32	4	-0.000354612931673
33	2	0.117121400123
33	3	0.237876471992
33	4	0.0227773990454
34	2	0.169319929534
34	3	0.0417119801773
34	4	-0.0751311114402
35	2	0.181380821078
35	3	0.22996902511
35	4	-0.0220497105472
36	2	0.174953814338
36	3	0.111509663685
36	4	0.0184706607722
37	2	0.134152879902
37	3	-0.10501657815
37	4	-0.117929217236
38	2	0.13548291973
38	3	0.0989776448371
38	4	0.0989826886261
39	2	0.149878370098
39	3	0.26540028547
39	4	-0.00820457724236
40	2	0.175557061887
40	3	0.198716626733
40	4	0.0593934250057
41	2	0.164641007966
41	3	0.268367221325
41	4	0.0278831607522
42	2	0.153282552083
42	3	-0.0638913075443
42	4	0.171160759007
43	2	0.145800245098
43	3	-0.00520762558447
43	4	0.0634918816831
44	2	0.128243030025
44	3	0.102001349587
44	4	-0.0651039527814
45	2	0.0988505667892
45	3	0.0988805820011
45	4	0.0942440265202
46	2	0.0708121936275
46	3	0.291249058431
46	4	0.00593130387696
47	2	0.102288602941
47	3	0.29994137886
47	4	0.0133463785459
48	2	0.0852815563726
48	3	0.342304787583
48	4	0.0796797078923
49	2	0.0573881740196
49	3	0.347203147526
49	4	0.152772797749
50	2	0.0885941329657
50	3	-0.145565199239
50	4	0.493245701291
51	2	0.090352098652
51	3	-0.045994031746
51	4	0.0466024570118
52	2	0.11577856924
52	3	0.108634531016
52	4	0.179270132271
53	2	0.10833057598
53	3	-0.0953767037768
53	4	0.174319089148
54	2	0.119059436275
54	3	0.187500621711
54	4	-0.215498216803
55	2	0.106839154412
55	3	0.0797881781033
55	4	0.114796910265
56	2	0.083171338848
56	3	0.0866168023405
56	4	0.290223336065
57	2	0.0957331495098
57	3	0.189668051198
57	4	0.0540826214247
58	2	0.0994191176471
58	3	0.56582085255
58	4	-0.23892457056
59	2	0.108812882966
59	3	-0.00301297436503
59	4	0.0203166710175
60	2	0.077158471201
60	3	0.19650196504
60	4	0.0558191134577
61	2	0.0979371936275
61	3	0.197040553573
61	4	-0.157458058475
62	2	0.0645595128677
62	3	0.177149084443
62	4	0.275411970784
