day	hour
0	2	0.142470656318
0	3	0.202433740804
0	4	-0.0287486800064
1	2	0.147371017157
1	3	0.0419389580827
1	4	-0.000356761829188
2	2	0.164002144608
2	3	0.032507646403
2	4	0.0263053347011
3	2	0.17489501634
3	3	0.0789856828908
3	4	-0.0853723432895
4	2	0.165686002179
4	3	0.0863145104769
4	4	-0.157264953657
5	2	0.160333197168
5	3	0.159132793421
5	4	-0.0725052197461
6	2	0.179274135349
6	3	0.107163077582
6	4	-0.00152286460679
7	2	0.165014365468
7	3	0.193047678072
7	4	0.0598734024806
8	2	0.196669253813
8	3	-0.00705111851882
8	4	0.216654602498
9	2	0.168984885621
9	3	0.202568716982
9	4	-0.0252106940206
10	2	0.182742306645
10	3	0.102383527563
10	4	-0.00848850494801
11	2	0.170027471405
11	3	0.0316881521864
11	4	0.165977021041
12	2	0.184537990196
12	3	-0.00172928614307
12	4	0.0614573797132
13	2	0.157608285675
13	3	0.00539314545452
13	4	-0.0346935164709
14	2	0.148616387527
14	3	0.12097045683
14	4	0.0606448028469
15	2	0.157037241285
15	3	0.0193688336857
15	4	0.0176637719061
16	2	0.193743293845
16	3	0.0590327715722
16	4	0.0966966573287
17	2	0.197538364651
17	3	-0.0241432929643
17	4	0.0772495379779
18	2	0.171027539488
18	3	0.40264116804
18	4	-0.00735943654963
19	2	0.205405603214
19	3	0.133341332203
19	4	0.0655107596848
20	2	0.155201491013
20	3	-0.270156674877
20	4	0.491563172613
21	2	0.197341537309
21	3	0.0411020041132
21	4	0.0382376903825
22	2	0.164370778867
22	3	0.112914186723
22	4	0.213197746264
23	2	0.192303479031
23	3	0.0813496910855
23	4	0.0390693518563
24	2	0.189716230937
24	3	0.221151208446
24	4	0.0145032579492
25	2	0.17885791122
25	3	0.031711466219
25	4	-0.11364008553
26	2	0.186014365468
26	3	-0.0764134710549
26	4	0.128748658506
27	2	0.199645697168
27	3	-0.0528943697897
27	4	0.069174765584
28	2	0.147124387255
28	3	0.0136488408861
28	4	0.0315851742841
29	2	0.163429330065
29	3	0.00804452231441
29	4	0.0574627094818
30	2	0.173972460512
30	3	0.0256576768418
30	4	0.0729653885135
31	2	0.182020969499
31	3	0.161968941781
31	4	0.0568742897495
32	2	0.211079758987
32	3	0.0228298780055
32	4	0.0489344235804
33	2	0.187883408224
33	3	-0.0488634510036
33	4	0.122361341724
34	2	0.189272024782
34	3	0.0506681512757
34	4	-0.180884194045
35	2	0.167082005719
35	3	-0.0019528533004
35	4	-0.106693295648
36	2	0.155627859477
36	3	0.0890660465641
36	4	0.0230939286211
37	2	0.158645663126
37	3	0.194101074654
37	4	0.0352193244773
38	2	0.162721575436
38	3	0.293725140455
38	4	-0.0439544212537
39	2	0.175523454521
39	3	0.212049752686
39	4	0.0603592822627
40	2	0.169532271242
40	3	0.180982065122
40	4	-0.0381386110804
41	2	0.166508578431
41	3	-0.129386342806
41	4	0.278383593311
42	2	0.126073086874
42	3	0.225145263222
42	4	-0.0779883576366
43	2	0.155019812092
43	3	0.328107588536
43	4	0.0290019509441
44	2	0.118585273693
44	3	0.174281816954
44	4	0.0145144013406
45	2	0.118807938453
45	3	0.101757192906
45	4	0.0852089527397
46	2	0.0875930010893
46	3	0.376481514895
46	4	0.0676377792349
47	2	0.106817776416
47	3	-0.21211002758
47	4	0.333484705443
48	2	0.126955610022
48	3	0.0330202636265
48	4	0.04485009407
49	2	0.0739045479303
49	3	0.0988324047151
49	4	0.0962854141619
50	2	0.131251055283
50	3	0.192437943126
50	4	-0.0051633055608
51	2	0.107091605392
51	3	0.129730104494
51	4	-0.00416578617961
52	2	0.113618736383
52	3	-0.0121500929417
52	4	0.118716722748
53	2	0.0961159109477
53	3	0.0435469615221
53	4	0.0230976075161
54	2	0.119670819717
54	3	0.169863051943
54	4	0.161579357092
55	2	0.110389331427
55	3	0.268843192091
55	4	0.100538653074
56	2	0.107309674564
56	3	0.126455436193
56	4	-0.0506635206139
57	2	0.0904682053377
57	3	0.337565457177
57	4	0.137233110902
58	2	0.111689304194
58	3	-0.0586152133358
58	4	-0.197382209448
59	2	0.101941516885
59	3	-0.148437793937
59	4	0.270551213648
60	2	0.0836278594771
60	3	0.0739589841275
60	4	0.186268956055
61	2	0.0935186887255
61	3	0.306958967435
61	4	0.0638676259259
62	2	0.0925713167211
62	3	0.449366112436
62	4	-0.0880141468653
