day	hour
0	2	0.178736519608
0	3	-0.0675022428546
0	4	-0.349301115265
1	2	0.169692401961
1	3	0.0181525303848
1	4	-0.259608784937
2	2	0.164292892157
2	3	-0.043640183055
2	4	-0.105323813941
3	2	0.165905330882
3	3	0.123434299843
3	4	0.153625990252
4	2	0.202905637255
4	3	0.0349739061816
4	4	-0.0443156707485
5	2	0.174358762255
5	3	-0.0173797306311
5	4	0.13727512875
6	2	0.147348958333
6	3	0.00371511248029
6	4	0.0351493421391
7	2	0.140886948529
7	3	-0.147201103554
7	4	0.323008047023
8	2	0.141414215686
8	3	-0.410377115888
8	4	0.0707395415898
9	2	0.138036764706
9	3	0.0124959020095
9	4	0.0913440857691
10	2	0.181470281863
10	3	0.342772685237
10	4	-0.118068651579
11	2	0.114940870098
11	3	-0.215366813776
11	4	0.238856323458
12	2	0.162171568627
12	3	0.216064891746
12	4	-0.0679240292857
13	2	0.143852941176
13	3	-0.000569462879035
13	4	-0.0404099569252
14	2	0.167480085784
14	3	0.239730181842
14	4	-0.0172735168549
15	2	0.157696997549
15	3	0.0802924791087
15	4	-0.101487462129
16	2	0.148355392157
16	3	0.251278424739
16	4	0.0210601202461
17	2	0.141624693627
17	3	0.0321749971338
17	4	0.00507432392115
18	2	0.194740196078
18	3	0.199165564641
18	4	0.0240778760862
19	2	0.168950980392
19	3	0.174266325276
19	4	-0.193047583022
20	2	0.114687193627
20	3	0.116563207257
20	4	-0.0552405995114
21	2	0.158496017157
21	3	-0.0117988905523
21	4	0.0913625651754
22	2	0.18131127451
22	3	0.113405453863
22	4	-0.0515404458946
23	2	0.118526960784
23	3	-0.210138659035
23	4	0.245635540331
24	2	0.166116421569
24	3	0.0349082962658
24	4	0.00111820975452
25	2	0.114252144608
25	3	0.0090931113065
25	4	0.0787592115926
26	2	0.19495189951
26	3	-0.0798183657205
26	4	0.122219544617
27	2	0.135348958333
27	3	-0.347970791982
27	4	0.832957984919
28	2	0.0817791053921
28	3	-0.0121264201803
28	4	0.0697915671765
29	2	0.145230392157
29	3	-0.0900816282401
29	4	0.165407294088
30	2	0.168886029412
30	3	0.303551839302
30	4	0.119077229006
31	2	0.116646752451
31	3	0.106841322399
31	4	-0.00216906381276
32	2	0.187814644608
32	3	-0.00506751738321
32	4	0.0221990606773
33	2	0.13608057598
33	3	-0.155254983482
33	4	0.2616105017
34	2	0.161434742647
34	3	0.0520148852477
34	4	-0.100923872328
35	2	0.129106311275
35	3	0.0877535717101
35	4	-0.0100488557757
36	2	0.189020833333
36	3	-0.104312735004
36	4	0.233884061993
37	2	0.177477634804
37	3	0.410214719829
37	4	0.0109313603173
38	2	0.164787990196
38	3	0.213131619928
38	4	-0.0523398515739
39	2	0.165922487745
39	3	-1.0
39	4	inf
40	2	0.141790441176
40	3	0.0974431377952
40	4	0.191123404415
41	2	0.146795036765
41	3	0.0601847983856
41	4	-0.020860826312
42	2	0.207101409314
42	3	0.48791807868
42	4	-0.00414390476017
43	2	0.169215379902
43	3	0.254132018948
43	4	-0.429928010758
44	2	0.184911764706
44	3	0.209864169944
44	4	-0.407523661128
45	2	0.0318235294118
45	3	0.0637098190392
45	4	0.0519537349208
46	2	0.123341605392
46	3	0.375834706603
46	4	-0.0655574417495
47	2	0.0633970588235
47	3	1.26500618206
47	4	0.0308827379747
48	2	0.0353036151961
48	3	-0.284183856681
48	4	0.489395501798
49	2	0.0686810661765
49	3	-0.128842816301
49	4	-0.297685818561
50	2	0.0592300857843
50	3	0.1323584181
50	4	-0.336478423755
51	2	0.0231479779412
51	3	0.165009811918
51	4	0.0757372003714
52	2	0.0281504289216
52	3	-0.211254220106
52	4	0.645089106411
53	2	0.0967549019608
53	3	0.606484519065
53	4	0.0237226708854
54	2	0.0685511642157
54	3	0.0715084126927
54	4	0.0680866721338
55	2	0.0
56	2	0.0
57	2	0.0
58	2	0.0
59	2	0.0
60	2	0.0
61	2	0.0
62	2	0.0
