hour	day	value
0	2	0.0957083333333
0	3	-0.398615556383
0	4	0.749715332443
1	2	0.0996151960784
1	3	-0.397637854966
1	4	0.737150767682
2	2	0.17318872549
2	3	0.226281047214
2	4	0.830550613568
3	2	0.169767156863
3	3	0.0967899394983
3	4	0.0609716106061
4	2	0.187169117647
4	3	0.117535958158
4	4	0.753315132606
5	2	0.122867647059
5	3	0.395237116986
5	4	-0.42384360984
6	2	0.146142156863
6	3	-0.0999365444251
6	4	0.0260455464513
7	2	0.127323529412
7	3	0.242477469343
7	4	0.0577370256844
8	2	0.135308823529
8	3	0.109723023658
8	4	0.0644905493592
9	2	0.130769607843
9	3	0.0613170935577
9	4	-1.0
10	2	0.137696078431
10	3	0.0967741935483
10	4	0.917922659548
11	2	0.166926470588
11	3	1.10866934508
11	4	-0.0713679039552
12	2	0.130492647059
12	3	-0.413717823797
12	4	0.696343669795
13	2	0.126919117647
13	3	1.06942183357
13	4	0.0262415571862
14	2	0.18818872549
14	3	-0.408626181669
14	4	0.102688849311
15	2	0.168727941176
15	3	-0.346764039285
15	4	0.496346881081
16	2	0.173600490196
16	3	0.118107409535
16	4	0.0492647530984
17	2	0.134720588235
17	3	-0.312647812726
17	4	-1.0
18	2	0.163943627451
18	3	0.129327126534
18	4	-0.360938319718
19	2	0.134205882353
19	3	-0.112000191658
19	4	0.0822991420707
20	2	0.173066176471
20	3	0.0866859818339
20	4	0.0230504432344
21	2	0.17350245098
21	3	inf
21	4	-0.0872315103429
22	2	0.159830882353
22	3	1.07159983076
22	4	0.0224668103936
23	2	0.166078431373
23	3	0.0477208409748
23	4	0.0593656534744
24	2	0.0797205882353
24	3	-0.0538036312612
24	4	-0.339299183105
25	2	0.064387254902
25	3	-0.329187314868
25	4	0.860036832413
26	2	0.15468627451
26	3	0.243051709201
26	4	-0.0696128051913
27	2	0.0
27	3	-0.258174128806
27	4	0.306536389251
28	2	0.132779411765
28	3	0.153134342524
28	4	0.621234567902
29	2	0.126735294118
29	3	0.103418021383
29	4	0.0293977326942
30	2	0.171176470588
30	3	-0.310312177207
30	4	0.0778799351
31	2	0.170105392157
31	3	0.246334479633
31	4	-0.09998960967
32	2	0.134823529412
32	3	0.228978457262
32	4	-0.106563943078
33	2	0.134720588235
33	3	0.0592480274057
33	4	-0.310447207274
34	2	0.130139705882
34	3	1.02579264645
34	4	0.0067465500595
35	2	0.0602352941176
35	3	0.207921364556
35	4	0.0552031975492
36	2	0.129330882353
36	3	-0.302247191012
36	4	0.656674511748
37	2	0.123139705882
37	3	0.343829593693
37	4	-0.0919459831451
38	2	0.128911764706
38	3	-0.403214517174
38	4	0.729203770471
39	2	0.159698529412
39	3	-0.443889072134
39	4	0.0926635641938
40	2	0.165583333333
40	3	0.108729295313
40	4	0.0845506433202
41	2	0.0764705882353
41	3	0.704464243176
41	4	0.204528301886
42	2	0.127220588235
42	3	-0.0487372950052
42	4	-0.37131769734
43	2	0.148629901961
43	3	-0.186693077208
43	4	0.0870989785013
44	2	0.111154411765
44	3	0.0687941848518
44	4	0.0434894899204
45	2	0.144838235294
45	3	0.508848175714
45	4	0.378361130754
46	2	0.0992745098039
46	3	0.12908353543
46	4	-0.595545367579
47	2	0.0583088235294
47	3	-0.399820166988
47	4	0.507405187912
48	2	0.105776960784
48	3	-0.398409176993
48	4	0.660700365773
49	2	0.075193627451
49	3	0.495138529062
49	4	0.189566600073
50	2	0.0786911764706
50	3	0.0298468532255
50	4	0.227169114986
51	2	0.0914975490196
51	3	0.681929425156
51	4	-0.0736341640862
52	2	0.102132352941
52	3	0.330950536682
52	4	-0.0488867457053
53	2	0.0556029411765
53	3	0.313195031541
53	4	-0.0917974875785
54	2	0.0481519607843
54	3	-0.0625409299279
54	4	0.204367887935
55	2	0.0
55	3	0.140989925202
55	4	0.0619930765761
56	2	0.0789607843137
56	3	-1.0
56	4	inf
57	2	0.0995367647059
57	3	-0.212532338014
57	4	0.551297805643
58	2	0.0620735294118
58	3	0.98186759997
58	4	-0.206842134926
59	2	0.0803799019608
59	3	0.933739191812
59	4	-0.369895514897
60	2	0.0451519607843
60	3	1.32490874648
60	4	-0.0202909495608
61	2	0.0959068627451
61	3	-0.31787127604
61	4	0.978491092685
62	2	0.0774142156863
62	3	0.179798796585
62	4	0.134376196907
