hour	day	value
0	2	0.374368872549
0	3	-0.235260711078
0	4	-1.0
0	5	0
0	6	0.0208364713561
1	2	0.230992647059
1	3	1.18472648212
1	4	0.511160079613
1	5	-1.0
1	6	0
2	2	0.357101715686
2	3	0.093111251252
2	4	1.00149319578
2	5	-0.479975584116
2	6	0.404206064558
3	2	0.374056372549
3	3	0.0803831417625
3	4	0.550429108447
3	5	-1.0
3	6	0
4	2	0.114362745098
4	3	0.0200358906999
4	4	0.0603779744631
4	5	-1.0
4	6	0
5	2	0.315894607843
5	3	1.18018124975
5	4	-0.469278103501
5	5	0.040461043847
5	6	0.983169521055
6	2	0.144699754902
6	3	-1.0
6	4	0
6	5	0.512361626773
6	6	-1.0
7	2	0
7	3	-0.26145701847
7	4	-0.475557648372
7	5	1.99211865252
7	6	-0.658375566818
8	2	0.381789215686
8	3	-0.139759586123
8	4	-0.508393030866
8	5	2.18662972691
8	6	-0.320924508276
9	2	0
9	3	0
9	4	0
9	5	-0.643218670916
9	6	1.0
10	2	0.146856617647
10	3	0.535713634125
10	4	-0.638712666619
10	5	0.580875341159
10	6	0.275792495216
11	2	0.251158088235
11	3	-1.0
11	4	0
11	5	0.00301185097885
11	6	-1.0
12	2	0
12	3	0
12	4	-1.0
12	5	0
12	6	-0.652396785813
13	2	0.145851715686
13	3	-0.438660356753
13	4	0.903781828111
13	5	0.0423472040447
13	6	0.035191523762
14	2	0.367071078431
14	3	-0.41827668876
14	4	1.00367099567
14	5	-0.486034292035
14	6	1.95661824052
15	2	0.24806372549
15	3	0.977097309385
15	4	-0.468449568564
15	5	1.94323563731
15	6	0.0376166044776
16	2	0
16	3	-1.0
16	4	0
16	5	0.0248501172995
16	6	-0.484849512505
17	2	0.129601715686
17	3	-0.556504191245
17	4	0.0277213860693
17	5	0.0162795449901
17	6	2.01521447721
18	2	0.147162990196
18	3	1.04481333713
18	4	0.0261140726804
18	5	-1.0
18	6	0
19	2	0.140772058824
19	3	0.601564310545
19	4	-0.28858421059
19	5	0.00988185839958
19	6	-0.493470963411
20	2	0.359589460784
20	3	-0.11968593704
20	4	-0.38101305483
20	5	0.412971586691
20	6	0.416053687428
21	2	0.270594362745
21	3	0.595696796849
21	4	-1.0
21	5	0
21	6	0.00201306844433
22	2	0.132512254902
22	3	0
22	4	-0.470576759364
22	5	0.0184248433888
22	6	1.01144699188
23	2	0.252401960784
23	3	-1.0
23	4	0
23	5	-0.647290021745
23	6	1.97487801662
24	2	0.296838235294
24	3	-0.432740729437
24	4	1.97108077208
24	5	-0.655035425674
24	6	1.96226910332
25	2	0.132714460784
25	3	-0.455566592802
25	4	1.99554385965
25	5	-0.00455647570075
25	6	-0.305539866328
26	2	0.139540441176
26	3	0.0805754309124
26	4	-0.474465817566
26	5	0.983809840426
26	6	-0.486702528782
27	2	0.101899509804
27	3	-1.0
27	4	0
27	5	0.0331475608619
27	6	-0.65597950593
28	2	0
28	3	0.441216109779
28	4	-0.28889617566
28	5	-1.0
28	6	0
29	2	0.269007352941
29	3	1.18514700267
29	4	0.017403763826
29	5	-0.491644482611
29	6	0.0305415723504
30	2	0.134515931373
30	3	0.116264579317
30	4	0.0284677644432
