hour	day	value
0	2	0.269206495098
0	3	0.303673406863
0	4	0.250560661765
0	5	0.583789828431
0	6	0.450952818627
0	7	0.454445465686
1	2	0.219414828431
1	3	0.0800030637255
1	4	0.165919117647
1	5	0.49959252451
1	6	0.521081495098
1	7	0.451678921569
2	2	0.270888480392
2	3	0.498465073529
2	4	0.256335784314
2	5	0.516688112745
2	6	0.532830882353
2	7	0.370395220588
3	2	0.128694852941
3	3	0.158621323529
3	4	0.491899509804
3	5	0.0923651960784
3	6	0.45015625
3	7	0.457071078431
4	2	0.240232843137
4	3	0.24006127451
4	4	0.331954656863
4	5	0.261957720588
4	6	0.445649509804
4	7	0.27534620098
5	2	0.238869485294
5	3	0.308768382353
5	4	0.322199754902
5	5	0.265324754902
5	6	0.355303308824
5	7	0.0937837009804
6	2	0.182279411765
6	3	0.150790441176
6	4	0.569145220588
6	5	0.596200980392
6	6	0.181571691176
6	7	0.451109068627
7	2	0.341681985294
7	3	0.378556985294
7	4	0.174954044118
7	5	0.434264705882
7	6	0.36506127451
7	7	0.366890318627
8	2	0.291069240196
8	3	0.309071691176
8	4	0.175266544118
8	5	0.426400122549
8	6	0.0908762254902
8	7	0.360729166667
9	2	0.133229166667
9	3	0.362089460784
9	4	0.319270833333
9	5	0.502003676471
9	6	0.176957720588
9	7	0.275006127451
10	2	0.332800245098
10	3	0.154761029412
10	4	0.32459252451
10	5	0.514258578431
10	6	0.36059129902
10	7	0.0945833333333
11	2	0.182411151961
11	3	0.160398284314
11	4	0.174482230392
11	5	0.349742647059
11	6	0.358866421569
11	7	0.543183210784
12	2	0.183584558824
12	3	0
12	4	0.167009803922
12	5	0.504359681373
12	6	0.267469362745
12	7	0.271121323529
13	2	0.332536764706
13	3	0.381001838235
13	4	0.491207107843
13	5	0.261237745098
13	6	0.357794117647
13	7	0.356927083333
14	2	0.284025735294
14	3	0.30368872549
14	4	0.252616421569
14	5	0.177417279412
14	6	0.181485906863
14	7	0.271280637255
15	2	0.185526960784
15	3	0.29006127451
15	4	0.455079656863
15	5	0.580337009804
15	6	0.35400122549
15	7	0.44881127451
16	2	0.239613970588
16	3	0.373581495098
16	4	0.331703431373
16	5	0.0904442401961
16	6	0.444629289216
16	7	0.273409926471
17	2	0.287334558824
17	3	0.0854289215686
17	4	0.642077205882
17	5	0.268900122549
17	6	0.443354779412
17	7	0.361740196078
18	2	0.133737745098
18	3	0.375174632353
18	4	0.492809436275
18	5	0.350315563725
18	6	0.182977941176
18	7	0.184546568627
19	2	0.176063112745
19	3	0.574261642157
19	4	0.409708946078
19	5	0.349420955882
19	6	0.183238357843
19	7	0.0949724264706
20	2	0.342616421569
20	3	0.242022058824
20	4	0.333612132353
20	5	0.181547181373
20	6	0.441259191176
20	7	0.2725
21	2	0.324059436275
21	3	0.37334252451
21	4	0.639577205882
21	5	0.428943014706
21	6	0.352720588235
21	7	0.357956495098
22	2	0.125517769608
22	3	0.299837622549
22	4	0.090318627451
22	5	0.433676470588
22	6	0.618085171569
22	7	0.619586397059
23	2	0.294335171569
23	3	0.239347426471
23	4	0.170428921569
23	5	0.428679534314
23	6	0.699169730392
23	7	0.0938051470588
24	2	0.388504901961
24	3	0.238992034314
24	4	0.344727328431
24	5	0.181789215686
24	6	0.361017156863
24	7	0.279178921569
25	2	0.282444852941
25	3	0.297303921569
25	4	0.406920955882
25	5	0.343753063725
25	6	0.610361519608
25	7	0.274770220588
26	2	0.240003063725
26	3	0.447506127451
26	4	0.172368259804
26	5	0.267208946078
26	6	0.530284926471
26	7	0.364169730392
27	2	0.262840073529
27	3	0.276007965686
27	4	0.320628063725
27	5	0.341973039216
27	6	0.43840379902
27	7	0.27125
28	2	0.285775122549
28	3	0.426700367647
28	4	0.248272058824
28	5	0.426246936275
28	6	0.349172794118
28	7	0.270955882353
29	2	0.132212009804
29	3	0.0863909313725
29	4	0.176593137255
29	5	0.353599877451
29	6	0.270110294118
29	7	0.365318627451
30	2	0.185370710784
30	3	0.379684436275
30	4	0.260049019608
30	5	0.431066176471
30	6	0.705070465686
30	7	0.442892156863
31	2	0.432895220588
31	3	0.300925245098
31	4	0.492628676471
31	5	0.264546568627
31	6	0.272787990196
31	7	0.275487132353
32	2	0.189751838235
32	3	0.16043504902
32	4	0.416715686275
32	5	0.429917279412
32	6	0.272429534314
32	7	0.275827205882
33	2	0.291256127451
33	3	0.370073529412
33	4	0.172254901961
33	5	0.597074142157
33	6	0.36027879902
33	7	0.452659313725
34	2	0.334708946078
34	3	0.307735906863
34	4	0.175018382353
34	5	0.433082107843
34	6	0.271734068627
34	7	0.270922181373
35	2	0.29018995098
35	3	0.225484068627
35	4	0.414375
35	5	0.263363970588
35	6	0.442696078431
35	7	0.179093137255
36	2	0.241541053922
36	3	0.162662377451
36	4	0.338118872549
36	5	0.268388480392
36	6	0.271369485294
36	7	0.36265625
37	2	0.130487132353
37	3	0.240701593137
37	4	0.260873161765
37	5	0.0910906862745
37	6	0.362515318627
37	7	0.366694240196
38	2	0.291268382353
38	3	0.295269607843
38	4	0.256387867647
38	5	0.43050245098
38	6	0.519065563725
38	7	0.446865808824
39	2	0.228118872549
39	3	0.297840073529
39	4	0.331648284314
39	5	0.175900735294
39	6	0.181412377451
39	7	0.364022671569
40	2	0.34599877451
40	3	0.374908088235
40	4	0.173121936275
40	5	0.346519607843
40	6	0.185232843137
40	7	0.1865625
41	2	0.3428125
41	3	0.24224877451
41	4	0.497061887255
41	5	0.178397671569
41	6	0.527898284314
41	7	0.543514093137
42	2	0.133097426471
42	3	0.240594362745
42	4	0.172723651961
42	5	0.352987132353
42	6	0.354451593137
42	7	0.181706495098
43	2	0.284650735294
43	3	0.156819852941
43	4	0
43	5	0.432132352941
43	6	0.353584558824
43	7	0.535223651961
44	2	0.233428308824
44	3	0.305036764706
44	4	0.17809129902
44	5	0.51706495098
44	6	0.453391544118
44	7	0.45862745098
45	2	0
45	3	0.267643995098
45	4	0.129705882353
45	5	0.330631127451
45	6	0.0724111519608
45	7	0.21759497549
46	2	0.0997549019608
46	3	0.0656280637255
46	4	0.256651348039
46	5	0.265168504902
46	6	0.331338848039
46	7	0.461988357843
47	2	0.0718443627451
47	3	0
47	4	0.145211397059
47	5	0.174393382353
47	6	0.30765625
47	7	0.0563265931373
48	2	0.03453125
48	3	0.0439491421569
48	4	0.0537714460784
48	5	0.034525122549
48	6	0.0698100490196
48	7	0.0351133578431
49	2	0.0154932598039
49	3	0.116979166667
49	4	0.0665716911765
49	5	0.171672794118
49	6	0.0727512254902
49	7	0.138964460784
50	2	0.0712714460784
50	3	0.148195465686
50	4	0.122208946078
50	5	0.101985294118
50	6	0.0503707107843
50	7	0.102840073529
51	2	0.0443535539216
51	3	0.0893198529412
51	4	0.0606525735294
51	5	0.0824969362745
51	6	0.126850490196
51	7	0.0417371323529
52	2	0.0421415441176
52	3	0.0872794117647
52	4	0.0984160539216
52	5	0.0389644607843
52	6	0.0430637254902
52	7	0.0901930147059
53	2	0.0712806372549
53	3	0.231982230392
53	4	0.214221813725
53	5	0.058912377451
53	6	0.241430759804
53	7	0.188970588235
54	2	0.105431985294
54	3	0.292181372549
54	4	0.249365808824
54	5	0.297362132353
54	6	0.214142156863
54	7	0.361424632353
55	2	0
55	3	0
55	4	0
55	5	0
55	6	0
55	7	0
56	2	0
56	3	0
56	4	0
56	5	0
56	6	0
56	7	0
57	2	0
57	3	0
57	4	0
57	5	0
57	6	0
57	7	0
58	2	0
58	3	0
58	4	0
58	5	0
58	6	0
58	7	0
59	2	0
59	3	0
59	4	0
59	5	0
59	6	0
59	7	0
60	2	0
60	3	0
60	4	0
60	5	0
60	6	0
60	7	0
61	2	0
61	3	0
61	4	0
61	5	0
61	6	0
61	7	0
62	2	0
62	3	0
62	4	0
62	5	0
62	6	0
62	7	0
