day	hour
0	2	0.142856243192
0	3	0.0979295927559
0	4	0.0489372167244
1	2	0.137682734205
1	3	0.160982693432
1	4	-0.251721997877
2	2	0.139231311275
2	3	0.199367024611
2	4	-0.0933599859784
3	2	0.132587554466
3	3	0.134349473997
3	4	-0.109569989696
4	2	0.169789930556
4	3	-0.200689945271
4	4	0.142723358133
5	2	0.174598992375
5	3	-0.0629568301106
5	4	0.14416681559
6	2	0.145787479575
6	3	0.0766887128416
6	4	0.0158474716066
7	2	0.165363119553
7	3	0.0879597518476
7	4	0.0336557584496
8	2	0.143784313725
8	3	-0.212796888118
8	4	0.365320660542
9	2	0.18623192402
9	3	-0.0187107813208
9	4	0.0422596428344
10	2	0.195141544118
10	3	0.0590342255076
10	4	-0.0556841888184
11	2	0.174001293573
11	3	0.0574793784285
11	4	0.0720065230803
12	2	0.187540236928
12	3	0.132043189792
12	4	0.183708775526
13	2	0.162590073529
13	3	0.0167230171896
13	4	0.000188036490345
14	2	0.189133986928
14	3	0.253100987171
14	4	-0.105491903809
15	2	0.192618464052
15	3	0.0490144768387
15	4	0.0418170368644
16	2	0.169084184368
16	3	-0.0112991843797
16	4	0.0320810552021
17	2	0.172192163671
17	3	0.0646597747132
17	4	0.0959113725708
18	2	0.157308619281
18	3	-0.08402174703
18	4	0.16554554339
19	2	0.173276348039
19	3	0.105946899144
19	4	-0.126905692559
20	2	0.178459150327
20	3	0.0140515218986
20	4	0.0181358387248
21	2	0.18459912854
21	3	0.0801675036229
21	4	-0.106461239188
22	2	0.16102440768
22	3	0.100113212196
22	4	-0.0140560859436
23	2	0.192463031046
23	3	0.0348044742515
23	4	0.0613202258516
24	2	0.172994893791
24	3	0.136567226256
24	4	-0.0603228238123
25	2	0.20499683415
25	3	0.149861037153
25	4	-0.0943298512202
26	2	0.148103485839
26	3	0.0186700086975
26	4	0.129047763345
27	2	0.123815495643
27	3	0.0710587666712
27	4	-0.0200671847532
28	2	0.170983047386
28	3	-0.00554166884156
28	4	0.0124698669239
29	2	0.171426879085
29	3	-0.378483150386
29	4	0.621573548726
30	2	0.176094158497
30	3	-0.0637860516655
30	4	0.17385234578
31	2	0.152849775327
31	3	0.328057398357
31	4	0.047962103095
32	2	0.156696929466
32	3	0.0610810956779
32	4	-0.0651110536776
33	2	0.175534756264
33	3	0.0371016197449
33	4	0.0467198521827
34	2	0.157491013072
34	3	0.0257355926218
34	4	0.0316088213475
35	2	0.180118191721
35	3	0.165651025097
35	4	0.115176328602
36	2	0.149282339325
36	3	-0.0768822661865
36	4	-0.100707399458
37	2	0.15750462963
37	3	0.0576821840233
37	4	0.0196997001895
38	2	0.17271582244
38	3	0.225653601096
38	4	0.015877414098
39	2	0.172982877179
39	3	0.0086260918077
39	4	0.0942520865437
40	2	0.157021446078
40	3	0.438749063622
40	4	0.00974812365445
41	2	0.169679670479
41	3	0.00719733845441
41	4	-0.00362319012031
42	2	0.161767258987
42	3	0.0561545806879
42	4	0.000449848727635
43	2	0.113012799564
43	3	0.0242874647308
43	4	0.0996694315871
44	2	0.131129289216
44	3	-0.0693903965207
44	4	0.204286320618
45	2	0.125270322712
45	3	0.040608580314
45	4	0.155098219125
46	2	0.0939720179739
46	3	0.240598540547
46	4	0.0515556778008
47	2	0.113868974673
47	3	0.205756150667
47	4	-0.0279774647079
48	2	0.0999606141067
48	3	0.100555949043
48	4	0.0276628523067
49	2	0.0502670547386
49	3	0.183771984614
49	4	0.116288283372
50	2	0.11695557598
50	3	0.0487709465818
50	4	-0.0070555004576
51	2	0.0902265114379
51	3	0.209627823284
51	4	0.103026857613
52	2	0.112913705065
52	3	-0.0665820013618
52	4	0.12380587511
53	2	0.105292211329
53	3	0.163969996462
53	4	0.0230777972109
54	2	0.115936002179
54	3	0.207535071798
54	4	0.0674805081353
55	2	0.112664351852
55	3	0.34611197031
55	4	0.178095773022
56	2	0.118361315359
56	3	0.154691724362
56	4	-0.0911008008461
57	2	0.0732751906318
57	3	0.367126619271
57	4	0.0962796748598
58	2	0.110245234205
58	3	0.160707841882
58	4	-0.153548628272
59	2	0.0767006740196
59	3	0.0860160078024
59	4	-0.152244394751
60	2	0.0788643110022
60	3	0.369337807725
60	4	0.0833151444153
61	2	0.106113085512
61	3	0.115621205411
61	4	-0.0367436987024
62	2	0.0693447372004
62	3	0.196309292161
62	4	0.0456368535144
